Year,Month,Com.Scheduled Int,Com.Scheduled Dom,Com.Non-Scheduled Int,Com.Non-Scheduled Dom,Private Int,Private Dom,Military Int,Military Dom,Tot Excl. Military/civil,Tot Incl. Military/civil,Tot International,Tot Domestic,Total,Temp_C,Precip_mm
2015,10,611,230,147,272,89,237,27,514,1588,2128,848,740,1588,31.19036532,29.35054016
2015,11,1279,482,308,570,187,497,56,1075,3322,4453,1773,1548,3322,17.9099057,30.82764905
2015,12,2865,1080,690,1276,418,1113,126,2408,7443,9978,3974,3470,7443,24.43974176,113.7991054
2016,1,980,336,216,465,140,381,34,898,2518,3450,1336,1182,2518,20.8970043,162.6759433
2016,2,618,212,137,294,89,240,21,567,1590,2178,844,746,1590,19.6580331,22.66751657
2016,3,539,185,119,256,77,209,18,494,1386,1898,735,651,1386,17.32817827,9.641054479
2016,4,4418,1515,976,2099,633,1717,152,4049,11357,15558,6027,5330,11357,16.30642313,11.88576881
2016,5,193,66,43,91,28,75,7,176,495,678,263,232,495,10.16823276,0
2016,6,1135,389,251,539,162,441,39,1040,2917,3996,1548,1369,2917,8.338622861,9
2016,7,1638,562,362,778,235,636,56,1501,4211,5768,2235,1976,4211,7.434746448,0
2016,8,1522,522,336,723,218,591,52,1395,3912,5359,2076,1836,3912,16.07033526,34.12474794
2016,9,627,215,139,298,90,244,22,575,1613,2210,856,757,1613,15.37967394,18.46744351
2016,10,45,15,10,22,6,18,1,41,116,160,62,55,116,30.65777804,12.35366038
2016,11,628,215,139,299,90,244,22,576,1616,2213,857,758,1616,21.56073008,58.63608836
2016,12,3131,1074,692,1487,448,1217,108,2870,8049,11026,4271,3778,8049,17.31963839,75.90509302
2017,1,132,46,30,62,16,45,8,92,331,429,178,153,331,24.39229823,171.0819516
2017,2,778,271,173,362,94,267,45,541,1946,2527,1046,900,1946,25.5627161,8.730789968
2017,3,1486,517,331,692,180,511,86,1034,3717,4826,1997,1720,3717,24.76325523,6.511451508
2017,4,3949,1373,879,1838,478,1357,227,2746,9875,12819,5306,4569,9875,25.11258155,17.4111585
2017,5,1711,595,381,797,207,588,98,1190,4279,5555,2299,1980,4279,9.076460353,9
2017,6,1219,424,271,567,147,419,70,847,3047,3956,1638,1410,3047,8.701722828,0
2017,7,996,346,222,464,121,342,57,693,2491,3233,1338,1152,2491,10.97615843,1
2017,8,2359,821,525,1098,286,811,136,1641,5899,7659,3170,2729,5899,21.53391666,15.09045358
2017,9,1000,348,223,465,121,344,58,695,2500,3245,1343,1157,2500,25.44790863,16.42502335
2017,10,1051,366,234,489,127,361,60,731,2629,3413,1412,1216,2629,32.77990642,39.93155593
2017,11,809,281,180,377,98,278,47,562,2022,2625,1087,936,2022,21.54121771,28.72044303
2017,12,2308,803,514,1074,279,793,133,1605,5771,7492,3101,2670,5771,19.17527121,99.10404462
2018,1,100,37,21,54,13,36,6,58,262,276,134,128,262,23.36035564,127.0255091
2018,2,2367,880,501,1275,300,850,144,1357,6174,6514,3168,3006,6174,23.19726413,24.78035646
2018,3,534,199,113,288,68,192,32,306,1393,1469,715,678,1393,21.03666125,18.24760544
2018,4,3134,1165,664,1689,397,1126,191,1797,8174,8624,4194,3980,8174,17.69602846,26.25650255
2018,5,1835,683,389,989,232,659,112,1052,4787,5051,2456,2331,4787,9.878467748,2
2018,6,2358,877,500,1271,298,847,144,1352,6152,6490,3157,2995,6152,11.01826945,0
2018,7,1947,724,413,1049,246,700,119,1116,5079,5358,2606,2473,5079,7.814743222,45
2018,8,1141,424,242,615,144,410,69,654,2977,3141,1528,1449,2977,19.54837714,31.16769951
2018,9,13,5,3,7,2,5,1,7,34,36,17,17,34,21.96303094,17.83947041
2018,10,2003,745,424,1079,253,720,122,1148,5223,5511,2680,2543,5223,30.41588141,33.85579964
2018,11,314,117,66,169,40,113,19,180,818,863,420,398,818,17.46972851,31.55338731
2018,12,3653,1358,774,1968,462,1312,222,2094,9528,10052,4889,4639,9528,17.07507305,94.55795876
2019,1,1249,457,262,717,142,386,119,654,3213,3444,1653,1560,3226,20.0224572,162.1889833
2019,2,1346,492,283,773,153,416,128,705,3464,3713,1782,1681,3478,25.53666197,32.9201933
2019,3,141,52,30,81,16,43,13,74,362,388,186,176,364,25.07147008,17.34398209
2019,4,1338,489,281,768,152,413,127,700,3441,3689,1771,1670,3455,21.43560475,32.69280638
2019,5,441,161,92,253,50,136,42,231,1134,1216,583,550,1139,6.123957596,5
2019,6,1340,490,281,770,153,414,127,702,3448,3697,1775,1674,3463,9.652571581,12
2019,7,1195,437,251,687,136,369,114,625,3074,3296,1582,1492,3087,9.71450025,0
2019,8,3562,1302,748,2046,406,1099,338,1864,9163,9822,4715,4448,9200,25.48359706,30.63118176
2019,9,449,164,94,258,51,138,43,235,1154,1237,594,560,1159,20.36484791,13.98882659
2019,10,2817,1030,591,1619,321,870,268,1475,7248,7770,3730,3518,7278,34.37451951,29.10976382
2019,11,1268,464,266,729,145,391,120,664,3263,3498,1679,1584,3276,23.4592082,31.16958569
2019,12,3510,1283,737,2016,400,1084,334,1838,9030,9680,4647,4384,9068,20.31652749,112.8280206
2020,1,1045,390,220,603,119,325,106,551,2686,2874,1384,1306,2703,21.03219795,164.794851
2020,2,1239,463,261,715,142,386,126,653,3186,3408,1641,1549,3206,22.69304724,32.85279952
2020,3,1554,580,328,896,177,484,158,819,3994,4272,2057,1942,4019,25.53453398,12.02949666
2020,4,4021,1501,848,2319,458,1252,408,2119,10335,11054,5324,5025,10399,24.6298955,13.86929925
2020,5,1060,395,223,611,121,330,107,558,2724,2913,1403,1324,2741,6.924836496,0
2020,6,610,228,129,352,70,190,62,322,1569,1678,808,763,1579,10.55622393,0
2020,7,1700,635,359,981,194,530,173,896,4371,4675,2251,2125,4398,9.903735707,0
2020,8,1976,738,417,1140,225,615,200,1041,5079,5433,2616,2470,5111,24.8827252,24.09946436
2020,9,89,33,19,52,10,28,9,47,230,246,118,112,231,26.74541503,10.8258024
2020,10,46,17,10,26,5,14,5,24,118,126,61,57,119,33.80034211,37.53812169
2020,11,985,368,208,568,112,307,100,519,2531,2707,1304,1231,2547,24.59127825,57.69290593
2020,12,4397,1642,928,2537,501,1370,446,2318,11304,12090,5822,5496,11374,25.90718378,102.1430716
2021,1,637,237,134,361,68,205,45,337,1642,1803,915,757,1672,18.6291427,132.9670869
2021,2,1353,503,284,767,144,435,95,715,3486,3827,1941,1606,3547,24.42463992,37.9764735
2021,3,921,343,193,522,98,296,65,486,2372,2604,1321,1093,2414,21.25531188,20.07380333
2021,4,4835,1798,1015,2740,516,1554,340,2554,12458,13678,6938,5739,12678,18.6171942,6.478013518
2021,5,1946,724,409,1103,208,626,137,1028,5015,5506,2793,2310,5103,10.49704153,0
2021,6,1673,622,351,948,178,538,118,883,4310,4732,2400,1986,4386,8.676417776,0
2021,7,1157,430,243,656,124,372,81,611,2982,3274,1661,1374,3034,6.950380097,0
2021,8,3924,1459,824,2224,418,1261,276,2072,10111,11100,5631,4658,10289,18.51569887,28.87837615
2021,9,1118,416,235,634,119,359,79,590,2881,3162,1604,1327,2931,18.99154707,32.65490561
2021,10,78,29,16,44,8,25,6,41,201,221,112,93,205,34.7158825,29.94922234
2021,11,49,18,10,28,5,16,4,26,127,140,71,59,130,22.22657848,39.62340874
2021,12,1115,415,234,632,119,358,78,589,2872,3153,1600,1323,2923,22.71299306,68.12608551
2022,1,1358,512,234,711,134,448,63,695,3396,3545,1707,1780,3488,20.69301519,133.0502906
2022,2,361,136,62,189,35,119,17,185,902,942,453,473,926,17.14735963,36.30710572
2022,3,1325,499,229,694,130,437,62,678,3314,3459,1666,1737,3403,20.31043001,19.51746058
2022,4,4784,1803,825,2504,471,1579,223,2450,11965,12490,6015,6272,12287,19.51727945,26.84986631
2022,5,104,39,18,54,10,34,5,53,260,271,131,136,267,9.033632537,0
2022,6,1287,485,222,674,127,425,60,659,3219,3360,1618,1687,3305,11.68377735,0
2022,7,315,119,54,165,31,104,15,161,788,823,396,413,809,7.725380283,0
2022,8,3019,1138,521,1580,297,996,141,1546,7551,7882,3796,3959,7755,19.5638877,24.34024583
2022,9,1125,424,194,589,111,372,53,576,2815,2939,1415,1476,2891,21.02527637,37.28328754
2022,10,1579,595,272,827,155,521,74,809,3950,4124,1986,2071,4057,31.49976292,19.36170633
2022,11,753,284,130,394,74,249,35,386,1884,1967,947,988,1935,16.90102027,30.14791591
2022,12,3705,1396,639,1940,364,1223,173,1898,9268,9674,4659,4859,9517,19.38193449,73.42019859
2023,1,2298,916,404,1374,230,743,103,1154,5966,7223,2932,3034,5966,16.23716784,152.0023843
2023,2,236,94,41,141,24,76,11,118,612,740,301,311,612,20.48847148,38.4610952
2023,3,143,57,25,86,14,46,6,72,372,450,182,189,372,14.04895046,31.04271394
2023,4,4855,1937,854,2904,486,1570,217,2439,12607,15263,6196,6411,12607,17.2754449,19.49386429
2023,5,253,101,45,151,25,82,11,127,657,795,323,334,657,9.417573105,0
2023,6,1934,771,340,1157,194,626,86,972,5022,6080,2468,2554,5022,6.638891125,0
2023,7,1639,654,288,980,164,530,73,823,4255,5151,2091,2164,4255,11.17299606,0
2023,8,3957,1578,696,2367,396,1280,177,1988,10273,12437,5049,5224,10273,20.40229192,9.331604284
2023,9,77,31,14,46,8,25,3,39,199,242,98,102,199,20.87093555,39.38072137
2023,10,1758,701,309,1052,176,569,78,883,4565,5527,2244,2322,4565,31.4291504,7.13226198
2023,11,696,278,123,416,70,225,31,350,1808,2188,888,919,1808,17.86311081,48.42497554
2023,12,6144,2450,1081,3675,615,1987,274,3086,15952,19313,7840,8112,15952,16.91707438,80.57658684
2024,1,935,382,168,573,97,303,42,499,2457,2999,1242,1757,2999,19.65702109,132.6980107
2024,2,192,78,34,118,20,62,9,102,504,615,254,360,615,21.91984773,21.49280528
2024,3,1408,576,253,863,146,456,64,752,3702,4518,1871,2648,4518,21.2053042,31.48357877
2024,4,3277,1340,588,2009,340,1062,148,1751,8615,10513,4353,6161,10513,23.92475391,27.57614329
2024,5,1076,440,193,660,112,349,49,575,2829,3452,1429,2023,3452,6.005420664,0
2024,6,396,162,71,243,41,129,18,212,1042,1272,526,745,1272,6.005304331,0
2024,7,854,349,153,523,88,277,38,456,2245,2739,1134,1605,2739,9.130002636,0
2024,8,3477,1421,624,2131,360,1127,157,1857,9140,11155,4618,6536,11155,23.13287289,28.89650453
2024,9,2151,879,386,1319,223,697,97,1149,5656,6902,2858,4045,6902,21.14785646,29.4989571
2024,10,2457,1005,441,1506,255,796,111,1313,6460,7884,3264,4620,7884,35.89082817,19.7546057
2024,11,2213,905,397,1357,229,717,100,1182,5818,7100,2939,4161,7100,22.83317145,57.43225743
2024,12,5669,2317,1017,3475,588,1837,256,3028,14904,18188,7530,10658,18188,25.29582958,100.8126606
